frame_number,gender,emotion,year,movie_name
28,woman,happy,2014,dedh_ishqiya
62,woman,happy,2014,dedh_ishqiya
60,man,angry,2014,dedh_ishqiya
60,man,sad,2014,dedh_ishqiya
60,man,angry,2014,dedh_ishqiya
111,man,sad,2014,dedh_ishqiya
132,woman,happy,2014,dedh_ishqiya
94,man,sad,2014,dedh_ishqiya
61,woman,sad,2014,dedh_ishqiya
44,man,neutral,2014,dedh_ishqiya
88,man,sad,2014,dedh_ishqiya
20,man,sad,2014,dedh_ishqiya
19,man,sad,2014,dedh_ishqiya
120,man,angry,2014,dedh_ishqiya
45,man,neutral,2014,dedh_ishqiya
35,woman,sad,2014,dedh_ishqiya
36,man,happy,2014,dedh_ishqiya
59,woman,sad,2014,dedh_ishqiya
42,man,angry,2014,dedh_ishqiya
138,woman,happy,2014,dedh_ishqiya
135,woman,happy,2014,dedh_ishqiya
74,woman,sad,2014,dedh_ishqiya
102,man,happy,2014,dedh_ishqiya
29,woman,sad,2014,dedh_ishqiya
133,woman,happy,2014,dedh_ishqiya
136,woman,happy,2014,dedh_ishqiya
24,man,happy,2014,dedh_ishqiya
46,man,sad,2014,dedh_ishqiya
16,man,sad,2014,dedh_ishqiya
17,man,sad,2014,dedh_ishqiya
134,woman,happy,2014,dedh_ishqiya
119,man,sad,2014,dedh_ishqiya
32,man,sad,2014,dedh_ishqiya
47,man,sad,2014,dedh_ishqiya
137,woman,happy,2014,dedh_ishqiya
48,woman,happy,2014,dedh_ishqiya
34,woman,sad,2014,dedh_ishqiya
43,man,sad,2014,dedh_ishqiya
21,man,neutral,2014,dedh_ishqiya
22,man,sad,2014,dedh_ishqiya
79,man,sad,2014,dedh_ishqiya
23,woman,sad,2014,dedh_ishqiya
23,woman,sad,2014,dedh_ishqiya
139,man,angry,2014,dedh_ishqiya
18,man,sad,2014,dedh_ishqiya
93,man,angry,2010,love_sex_aur_dhokha
94,woman,angry,2010,love_sex_aur_dhokha
4,man,happy,2010,love_sex_aur_dhokha
88,woman,angry,2010,love_sex_aur_dhokha
91,man,angry,2010,love_sex_aur_dhokha
70,woman,sad,2010,love_sex_aur_dhokha
90,man,angry,2010,love_sex_aur_dhokha
40,man,angry,2010,love_sex_aur_dhokha
89,man,angry,2010,love_sex_aur_dhokha
92,man,angry,2010,love_sex_aur_dhokha
87,man,happy,2010,love_sex_aur_dhokha
6,man,happy,2010,love_sex_aur_dhokha
5,man,happy,2010,love_sex_aur_dhokha
28,woman,angry,2017,newton
30,man,neutral,2017,newton
29,man,neutral,2017,newton
93,man,sad,2010,band_baaja_baaraat
98,man,neutral,2010,band_baaja_baaraat
132,man,sad,2010,band_baaja_baaraat
94,man,sad,2010,band_baaja_baaraat
58,man,neutral,2010,band_baaja_baaraat
61,man,sad,2010,band_baaja_baaraat
44,woman,neutral,2010,band_baaja_baaraat
96,man,happy,2010,band_baaja_baaraat
128,man,sad,2010,band_baaja_baaraat
71,woman,neutral,2010,band_baaja_baaraat
76,woman,happy,2010,band_baaja_baaraat
76,woman,neutral,2010,band_baaja_baaraat
59,man,sad,2010,band_baaja_baaraat
107,man,happy,2010,band_baaja_baaraat
107,woman,happy,2010,band_baaja_baaraat
