,frame_number,gender,emotion,year,movie_name
0,28,woman,happy,2014,dedh_ishqiya
1,62,woman,happy,2014,dedh_ishqiya
2,60,man,angry,2014,dedh_ishqiya
3,60,man,sad,2014,dedh_ishqiya
4,60,man,angry,2014,dedh_ishqiya
5,111,man,sad,2014,dedh_ishqiya
6,132,woman,happy,2014,dedh_ishqiya
7,94,man,sad,2014,dedh_ishqiya
8,61,woman,sad,2014,dedh_ishqiya
10,88,man,sad,2014,dedh_ishqiya
11,20,man,sad,2014,dedh_ishqiya
12,19,man,sad,2014,dedh_ishqiya
13,120,man,angry,2014,dedh_ishqiya
15,35,woman,sad,2014,dedh_ishqiya
16,36,man,happy,2014,dedh_ishqiya
17,59,woman,sad,2014,dedh_ishqiya
18,42,man,angry,2014,dedh_ishqiya
19,138,woman,happy,2014,dedh_ishqiya
20,135,woman,happy,2014,dedh_ishqiya
21,74,woman,sad,2014,dedh_ishqiya
22,102,man,happy,2014,dedh_ishqiya
23,29,woman,sad,2014,dedh_ishqiya
24,133,woman,happy,2014,dedh_ishqiya
25,136,woman,happy,2014,dedh_ishqiya
26,24,man,happy,2014,dedh_ishqiya
27,46,man,sad,2014,dedh_ishqiya
28,16,man,sad,2014,dedh_ishqiya
29,17,man,sad,2014,dedh_ishqiya
30,134,woman,happy,2014,dedh_ishqiya
31,119,man,sad,2014,dedh_ishqiya
32,32,man,sad,2014,dedh_ishqiya
33,47,man,sad,2014,dedh_ishqiya
34,137,woman,happy,2014,dedh_ishqiya
35,48,woman,happy,2014,dedh_ishqiya
36,34,woman,sad,2014,dedh_ishqiya
37,43,man,sad,2014,dedh_ishqiya
39,22,man,sad,2014,dedh_ishqiya
40,79,man,sad,2014,dedh_ishqiya
41,23,woman,sad,2014,dedh_ishqiya
42,23,woman,sad,2014,dedh_ishqiya
43,139,man,angry,2014,dedh_ishqiya
44,18,man,sad,2014,dedh_ishqiya
45,93,man,angry,2010,love_sex_aur_dhokha
46,94,woman,angry,2010,love_sex_aur_dhokha
47,4,man,happy,2010,love_sex_aur_dhokha
48,88,woman,angry,2010,love_sex_aur_dhokha
49,91,man,angry,2010,love_sex_aur_dhokha
50,70,woman,sad,2010,love_sex_aur_dhokha
51,90,man,angry,2010,love_sex_aur_dhokha
52,40,man,angry,2010,love_sex_aur_dhokha
53,89,man,angry,2010,love_sex_aur_dhokha
54,92,man,angry,2010,love_sex_aur_dhokha
55,87,man,happy,2010,love_sex_aur_dhokha
56,6,man,happy,2010,love_sex_aur_dhokha
57,5,man,happy,2010,love_sex_aur_dhokha
58,28,woman,angry,2017,newton
61,93,man,sad,2010,band_baaja_baaraat
63,132,man,sad,2010,band_baaja_baaraat
64,94,man,sad,2010,band_baaja_baaraat
66,61,man,sad,2010,band_baaja_baaraat
68,96,man,happy,2010,band_baaja_baaraat
69,128,man,sad,2010,band_baaja_baaraat
71,76,woman,happy,2010,band_baaja_baaraat
73,59,man,sad,2010,band_baaja_baaraat
74,107,man,happy,2010,band_baaja_baaraat
75,107,woman,happy,2010,band_baaja_baaraat
76,52,woman,surprise,2010,band_baaja_baaraat
77,150,woman,happy,2010,band_baaja_baaraat
78,186,man,fear,2010,band_baaja_baaraat
79,68,woman,sad,2010,band_baaja_baaraat
81,145,woman,happy,2010,band_baaja_baaraat
82,142,woman,sad,2010,band_baaja_baaraat
83,165,man,happy,2010,band_baaja_baaraat
84,67,man,angry,2010,band_baaja_baaraat
85,67,woman,sad,2010,band_baaja_baaraat
87,143,woman,fear,2010,band_baaja_baaraat
88,74,woman,surprise,2010,band_baaja_baaraat
89,92,man,sad,2010,band_baaja_baaraat
90,110,woman,sad,2010,band_baaja_baaraat
91,110,woman,disgust,2010,band_baaja_baaraat
92,190,woman,surprise,2010,band_baaja_baaraat
93,66,woman,sad,2010,band_baaja_baaraat
95,77,woman,fear,2010,band_baaja_baaraat
96,77,man,surprise,2010,band_baaja_baaraat
97,46,woman,happy,2010,band_baaja_baaraat
98,166,man,fear,2010,band_baaja_baaraat
99,166,man,happy,2010,band_baaja_baaraat
100,127,man,happy,2010,band_baaja_baaraat
101,47,woman,happy,2010,band_baaja_baaraat
102,95,man,sad,2010,band_baaja_baaraat
106,187,woman,surprise,2010,band_baaja_baaraat
107,73,woman,sad,2010,band_baaja_baaraat
108,189,man,surprise,2010,band_baaja_baaraat
109,64,man,sad,2010,band_baaja_baaraat
110,72,woman,angry,2010,band_baaja_baaraat
113,75,woman,happy,2010,band_baaja_baaraat
115,139,woman,fear,2010,band_baaja_baaraat
117,80,woman,fear,2010,band_baaja_baaraat
118,61,man,sad,2016,the_blueberry_hunt
119,52,man,fear,2016,the_blueberry_hunt
121,26,man,happy,2016,the_blueberry_hunt
122,37,man,sad,2016,the_blueberry_hunt
123,82,man,fear,2016,the_blueberry_hunt
124,24,man,happy,2016,the_blueberry_hunt
125,17,man,fear,2016,the_blueberry_hunt
126,47,man,sad,2016,the_blueberry_hunt
127,48,man,sad,2016,the_blueberry_hunt
128,23,man,happy,2016,the_blueberry_hunt
129,25,man,happy,2016,the_blueberry_hunt
130,85,man,angry,2009,tum_mile
132,128,man,sad,2009,tum_mile
134,84,woman,happy,2009,tum_mile
135,133,man,sad,2009,tum_mile
137,82,man,angry,2009,tum_mile
138,117,man,angry,2009,tum_mile
139,79,woman,sad,2009,tum_mile
140,79,man,happy,2009,tum_mile
141,85,man,happy,2012,chal_pichchur_banate_hai
143,94,man,happy,2012,chal_pichchur_banate_hai
144,61,man,sad,2012,chal_pichchur_banate_hai
146,96,man,happy,2012,chal_pichchur_banate_hai
147,128,man,angry,2012,chal_pichchur_banate_hai
150,86,man,happy,2012,chal_pichchur_banate_hai
151,45,man,angry,2012,chal_pichchur_banate_hai
