Year,Name
2017,Prakash Electronic
2017,Ok Jaanu
2017,Haramkhor
2017,Coffee with D
2017,Kaabil
2017,Raees
2017,Jolly LLB 2
2017,Hindi Ka Napak Ko Jawab: MSG Lion Heart 2
2017,Runningshaadi.com
2017,The Ghazi Attack
2017,Irada
2017,Chauhar
2017,Rangoon
2017,Wedding Anniversary
2017,Mona Darling
2017,Commando 2
2017,Jeena Isi Ka Naam Hai
2017,Badrinath Ki Dulhania
2017,Aa Gaya Hero
2017,Trapped
2017,Machine
2017,Phillauri
2017,Bhanwarey
2017,Anaarkali of Aarah
2017,Naam Shabana
2017,Poorna: Courage Has No Limit
2017,Laali Ki Shaadi Mein Laaddoo Deewana
2017,Mirza Juuliet
2017,Mukti Bhawan
2017,Saanjh
2017,Begum Jaan
2017,Romeo-N-Bullet
2017,Noor
2017,Ek Thi Rani Aisi Bhi
2017,Maatr
2017,Ajab Singh ki Gajab Kahani
2017,Baahubali 2: The conclusion
2017,Mantostaan
2017,Meri Pyaari Bindu
2017,Sarkar 3
2017,Halg Girlfriend
2017,Jattu Engineer
2017,Hindi Medium
2017,Chakallaspur
2017,Sachin: A billion dreams
2017,Thodi Thodi Si Manmaaniyan
2017,A Death in the Gunj
2017,Hanuman: Da' Damdaar
2017,Sweetiee Weds NRI
2017,Dobaara: See Your Evil
2017,Dear Maya
2017,Raabta
2017,Behen Hogi Teri
2017,Bachche Kachche Sachche
2017,Love You Family
2017,G Kutta Se
2017,Bank Chor
2017,Tubelight
2017,Ek Haseena Thi Ek Deewana Tha
2017,Mom
2017,Guest in London
2017,Babu Ji Ek Ticket Bambai
2017,Jagga Jasoos
2017,Shab
2017,Lipstick Under My Burkha
2017,Munna Michael
2017,Raag Desh: Birth of A Nation
2017,Indu Sarkar
2017,Mubarakan
2017,Gurgaon
2017,Jab Harry Met Sejal
2017,Toilet: Ek Prem Katha
2017,Yeh Hai India
2017,Partition 1947
2017,Bareilly Ki Barfi
2017,A Gentleman
2017,Babumoshai Bandookbaaz
2017,Yadvi - The Dignified Princess
2017,Qaidi Band
2017,Baadshaho
2017,Shubh Mangal Savdhan
2017,Poster Boys
2017,The Rally
2017,Daddy
2017,Kaalakaandi
2017,Simran
2017,Lucknow Central
2017,Patel Ki Punjabi Shaadi
2017,JD
2017,Newton
2017,Bhoomi
2017,Haseena Parkar
2017,Judwaa 2
2017,Ranchi Diaries
2017,Aksar 2
2017,Mein Terrorist Nahi Hoon
2017,Chef
2017,Golmaal Again
2017,Secret Superstar
2017,Ittefaq
2017,Firangi
2017,Omerta
2017,Padmavati
2017,Tumhari Sulu
2017,102 Not Out
2017,Fukrey Returns
2017,Parmanu: The Story of Pokhran
2017,Tiger Zinda Hai
2017,Mangal Ho
2016,Wazir
2016,Chalk n Duster
2016,Rebellious Flower
2016,Airlift
2016,Jugni
2016,Kya Kool Hain Hum 3
2016,Saala Khadoos
2016,Mastizaade
2016,Sanam Teri Kasam
2016,Ghayal Once Again
2016,Fitoor
2016,Sanam Re
2016,Direct Ishq
2016,Ishq Forever
2016,LoveShhuda
2016,Neerja
2016,Aligarh
2016,Bollywood Diaries
2016,Love Shagun
2016,Tere Bin Laden: Dead or Alive
2016,Zubaan
2016,Jai Gangaajal
2016,Global Baba
2016,Teraa Surroor
2016,Ok Mein Dhokhe
2016,Kapoor & Sons
2016,Rocky Handsome
2016,Ki & Ka
2016,Love Games
2016,The Blueberry Hunt
2016,Fan
2016,Nil Battey Sannata
2016,Laal Rang
2016,Santa Banta Pvt Ltd
2016,Baaghi
2016,Shortcut Safari
2016,One Night Stand
2016,Traffic
2016,1920 London
2016,Azhar
2016,Buddha in a Traffic Jam
