,year,angry,disgust,fear,happy,sad,surprise
0,2008,23.9436619718,0.625978090767,8.13771517997,27.386541471,35.9937402191,3.91236306729
1,2009,28.3604135894,0.738552437223,8.71491875923,24.2245199409,34.1211225997,3.84047267356
2,2010,25.2066115702,1.73553719008,11.4876033058,25.2892561983,32.6446280992,3.63636363636
3,2011,22.3648648649,1.21621621622,10.472972973,25.7432432432,36.7567567568,3.44594594595
4,2012,27.1103896104,1.05519480519,8.27922077922,29.7077922078,29.1396103896,4.70779220779
5,2013,26.9970845481,1.22448979592,11.0787172012,25.4810495627,30.5539358601,4.66472303207
6,2014,24.5368752185,1.39811254806,10.3110800419,33.1003145753,26.2495630898,4.40405452639
7,2015,28.4309133489,1.17096018735,10.6323185012,24.8243559719,30.7259953162,4.21545667447
8,2016,27.2517321016,1.01616628176,10.4387990762,21.3394919169,35.4272517321,4.52655889145
9,2017,28.0176643768,0.932286555447,9.07752698724,20.2649656526,36.1138370952,5.59371933268
