,year,man_angry,man_happy,man_sad,woman_angry,woman_happy,woman_sad
0,2008,23.9436619718,27.386541471,35.9937402191,11.6504854369,32.6860841424,38.8349514563
1,2009,28.3604135894,24.2245199409,34.1211225997,14.2857142857,28.9285714286,39.2857142857
2,2010,25.2066115702,25.2892561983,32.6446280992,15.4804270463,31.3167259786,35.231316726
3,2011,22.3648648649,25.7432432432,36.7567567568,11.3907284768,32.0529801325,35.4966887417
4,2012,27.1103896104,29.7077922078,29.1396103896,12.6679462572,33.2053742802,30.3262955854
5,2013,26.9970845481,25.4810495627,30.5539358601,12.729498164,34.2717258262,31.82374541
6,2014,24.5368752185,33.1003145753,26.2495630898,15.6050955414,34.872611465,28.2643312102
7,2015,28.4309133489,24.8243559719,30.7259953162,17.1673819742,30.4721030043,30.3862660944
8,2016,27.2517321016,21.3394919169,35.4272517321,13.3443163097,28.665568369,35.1729818781
9,2017,28.0176643768,20.2649656526,36.1138370952,16.6666666667,28.9473684211,35.6725146199
